slug,title,career_code,education,sponsor,career_grades,type_works,posts,tasks_count
物业管理师,物业管理师,4-06-01-01,高中毕业（或同等学力）,广电城市服务,"四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"物业管理员,物业主管,物业项目经理,物业项目总监,物业公司总经理,设施设备管理专家,物业领域培训讲师,物业顾问",7
物流服务师,物流服务师,4-02-06-03,高中毕业（或同等学力）,络捷斯特,"三级/高级工,二级/技师,一级/高级技师","医药商品物流员,冷链物流员,危化品物流员,烟草物流员","仓库管理员,仓储主管,运输调度员,运输主管,物流信息专员,精益物流专员,跨境电商物流专员,国际货运代理,物流系统运维专员,物流数据分析师,物流规划师",6
物联网安装调试员,物联网安装调试员,6-25-04-09,初中毕业（或相当文化程度）,福建新大陆时代科技有限公司,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"物联网安装调试工程师,物联网技术支持工程师,物联网系统集成工程师,物联网运维工程师,智能硬件测试工程师",7
玻璃纤维及制品工,玻璃纤维及制品工,6-15-04-01,初中毕业（或相当文化程度）,巨石集团有限公司,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","铂合金漏板（坩埚）制造工,玻纤拉丝工,玻纤编织制品生产工,玻纤制品后处理工,玻纤非织造制品生产工,玻纤织布带工,配料熔制工,浸润剂配置工,玻纤保全保养工","玻纤拉丝工,玻纤编织制品生产工,玻纤制品后处理工,玻纤织布带工,铂合金漏板（坩埚）制造工,浸润剂配置工,玻纤保全保养工,玻纤非织造制品生产工,配料熔制工",8
电子商务师,电子商务师,4-01-06-01,初中毕业（或相当文化程度）,中教畅享科技股份有限公司,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","网商,跨境电子商务师,电商咨询师","电商平台运营,网络营销推广,电商数据分析,跨境电商运营,客户服务管理",5
电子电气产品检验员,电子电气产品检验员,4-08-05-07,初中毕业（或相当文化程度）,中国电研,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","电气电子产品环保检测员,电子电气产品安全检验员,电气电气产品环境试验检验员,电子电气产品能效检验员","电子测试工程师,EMC测试工程师,质量工程师,质量检测员（质检员）,品质检测员,实验室检测员（实验员）",8
电子竞技员,电子竞技员,4-14-05-07,初中毕业（或相当文化程度）,贵州工业职业技术学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"电子竞技策划师,电子竞技视频剪辑,电子竞技导播,电子竞技指导员,电子竞技员,电子竞技解说员,电子竞技赛事执行员,游戏主播",5
电子设备装接工,电子设备装接工,6-25-04-07,初中毕业（或相当文化程度）,永康五金技师学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","电子设备手工装接工,电子设备波峰焊装接工,电子元器件表面贴装工","电子装配工,电子组装工,电子工艺工程师,设备组装调试工,试制员,PCB工程师,电子元器件工程师,电子产品经理,SMT工程师,电子销售工程师,电子设备工程师,电子电气维修工程师",9
电工,电工,6-31-01-03,初中毕业（或相当文化程度）,开封技师学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","煤矿井下防爆电工,化工检修电工,烟机电工,港机电工","建筑安装电工,设备维修电工,工业自动化电工,电力系统电工,弱电电工,新能源电工,仪表电工,电机维修工,智能家居电工,电气技术员,电气工程师",5
电梯安装维修工,电梯安装维修工,6-29-03-03,大学专科学历（或高等职业学校毕业）,贵州装备制造职业学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","电梯安装工,电梯维修工","电梯维修工,电梯工程师,电梯维保员,电梯维保技师,电梯管理员",8
白酒酿造工,白酒酿造工,6-02-06-03,初中毕业（或相当文化程度）,贵州轻工职业大学,"五级/初级工,四级/中级工,三级/高级工","白酒微生物培菌工,白酒酵母工,白酒制曲工,白酒原料粉碎工,白酒发酵工,白酒贮酒工,白酒蒸馏串香工,白酒配酒工,白酒灌装工","制酒工,制曲工,白酒酿造师,白酒酿造工程师",8
眼镜验光师,眼镜验光师,4-14-03-03,初中毕业（或相当文化程度）,万新光学,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"验光师,验配师,视光师,视觉训练师",10
砌筑工,砌筑工,6-29-01-01,初中毕业（或相当文化程度）,浙江建设技师学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","建筑瓦工,窑炉修筑工,船舶泥工,打胶工,金属屋面工,瓦屋面工","建筑瓦工,窑炉修筑工,船舶泥工,土建施工员,土建监理员",5
碳排放管理员,碳排放管理员,4-09-07-04,高中毕业（或同等学力）,山东碳排放服务中心,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","民航碳排放管理员,碳排放监测员,碳排放核算员,碳排放核查员,碳排放交易员,碳排放咨询员","低碳咨询工程师,碳排放核查员,碳排放管理师,双碳专家,双碳数据审核,CCER领域技术经理,碳交易及绿证交易研究员",5
科技咨询师,科技咨询师,4-07-02-02,大学专科学历（或高等职业学校毕业）,广东华中科技大学工业技术研究院,"三级/高级工,二级/技师,一级/高级技师",,"科技项目管理,项目经理,技术经纪人,技术经理人,商务策划专员,市场营销顾问,项目申报主管,专利工程师,商务数据分析师",5
管工,管工,6-29-03-04,高中毕业（或同等学力）,浙江建设技师学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"管道工程师,给排水工程师,市政施工员,仪表管道工程师",6
糕点装饰师,糕点装饰师,6-02-01-02,初中毕业（或相当文化程度）,山西省焙烤食品行业协会,"三级/高级工,二级/技师,一级/高级技师","糖艺师,巧克力塑形师,蛋糕装饰师","西式面点师,西式烹调师,中式面点师,糖艺师,巧克力塑型师,蛋糕装饰师",6
糕点面包烘焙师,糕点面包烘焙师,6-02-01-01,初中毕业（或相当文化程度）,山西省焙烤食品行业协会,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","中式糕点师,西式糕点师,饼干制作工,面包师","糕点面包烘焙师,西式面点师,西式烹调师,中式面点师,中式烹调师,米面主食制作工,西式糕点师,饼干制作工,面包师",5
纺织染色工,纺织染色工,6-04-06-02,初中毕业（或相当文化程度）,山东轻工职业学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","纤维染色工,染色小样工,纺织染色机操作工","染色工艺员,染色打样员,后整理工艺员,染整工艺质量员,染整实验室技术员,纺织品测试工程师",8
缝纫工,缝纫工,6-05-01-03,初中毕业（或相当文化程度）,江苏省盐城技师学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","服装制作工,毛衫套口工,纺织品缝纫工,缝纫制品充填工","基础缝纫操作工,缝前准备工,缝后整理工,缝纫技师 ,服装定制缝纫岗,生产线技术骨干,生产线组长,QC (质量控制)专员,车缝指导工,生产线技术总监,质检主管,工艺创新人员,企业技术顾问,缝纫工艺研发人员 ,高级培训讲师,生产技术总监",5
美发师,美发师,4-10-03-02,初中毕业（或相当文化程度）,四川国际标榜职业学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"实习发型师,美发助理技师,美发助理发型师,高级发型师,烫染技师,头皮护理师,美发店店长,美发培训讲师",8
